"Title","Category","Mission, Purpose, and Organization Description","Contact Information Email","Members","Status","Test ","Attachments","Social Media"
"200PERCENT","Cultural, Arts and Music","200% is a K-pop performance group at UT Dallas, offering students a chance to learn and perform K-pop dances. We film covers for our YouTube channel, collaborate with other groups, and perform at live events. Our mission is to create a safe, inclusive community celebrating shared interests and cultural diversity.","eht210000@utdallas.edu","27","Active","copy of 200percent logo- white on black.jpg","0","https://www.instagram.com/__200percent__/"
"Alpha Psi Nu chapter of Sigma Tau Delta","Academic Interests, Educational/Departmental, Honor Society, Services, Social","The Society shall recognize and encourage excellence, among undergraduate and graduate students, in all aspects of English language, literature, and the many closely-related fields, including literacy initiatives.","swati.anwesha@utdallas.edu","32","Active",,"0","https://www.instagram.com/utdsigtd?igsh=bmg1NGR6Nm95OXNk"
"Black Graduate Student Association","Cultural, Social","The mission of the Black Graduate Student Association is to promote an environment for Black students and students of African descent to facilitate and cultivate a safe space and establish a community that bolsters the advancement of Black representation throughout all professional realms. 

The purpose of the BGSA is to foster a community amongst Black graduates and professional students at The University of Texas at Dallas. The BGSA aims to provide a network for all graduate students of the Black/African Diaspora to be supported through the completion of their degree and promote academic excellence. Graduate students may express ideas, concerns, and grievances in a safe space. This organization shall create opportunities for social activities, leadership, professional development, and mentoring among the University of Texas at Dallas community and surrounding city. BGSA will also serve as a voice and advocate for the Black graduate and professional students at The University of Texas at Dallas. 

We hold monthly social activities, professional development activities, mentorship programs through professional and undergraduate relationships, and various community service opportunities. ","Damian.Enyaosah@UTDallas.edu","4","Active",,"0","https://www.instagram.com/utd_bgsa/"
"Fraternity & Sorority Life","University Department","Fraternity & Sorority Life at UT Dallas is young, refreshing, and entrepreneurial. The chapters, like the university, are vibrantly diverse, academically proud, and are actively preparing their members for successful careers. We have been inspired by the history of our organizations across North America, but we are driven by the modern needs of today's students. The UT Dallas Fraternity and Sorority community seeks to promote, develop, and enhance the pillars that our community prides itself on: Belonging, Opportunity, and Personal Development. We would love for you to experience something that no one else at UT Dallas offers: 

The opportunity to invent tradition daily. ","fsl@utdallas.edu","6","Active",,"1",
"Global Medical Missions Alliance","Academic Interest, Religious","Our focus is to awaken and mobilize Christ-passionate healthcare workers to join in God’s Kingdom work, and to network with others who are already in the mission fields.","hxl200037@utdallas.edu","40","Active",,"0","https://www.instagram.com/utdgmma/"
"Students of East Africa ","Cultural","Students of East Africa (S.E.A.) embodies and represents a grand-scale of East African ethnicities at The University of North Texas. This organization consists of countries such as Ethiopia, Eritrea, Somalia, Uganda, Djibouti, Burundi, Rwanda, Tanzania, Kenya, Sudan, and South Sudan. Through the act community service, this organization will provide a means for students to connect with surrounding communities by lending a helping hand to those in need. The overall goal of this organization aims to create a safe space, where professional and social connections are harvested. S.E.A. will provide opportunities for students to learn about various cultures, develop meaningful relationships, and unite the East African community as a whole.","kkt210001@utdallas.edu","17","Active",,"1","https://hsuutd.weebly.com"
"Indigo Magazine","Art and Music, Social ","Mission:
Indigo magazine strives to give a voice to the student body through different mediums of art, so we can share our perspectives and grow as individuals. We will emulate the diversity of our campus by giving students a platform to share their opinions, thoughts, and stories.

Purpose:
Our goal is to create a strong and informed community where people feel comfortable sharing their thoughts and opinions, so we can continuously facilitate growth and learning. Our magazine will explore social, cultural, and emotional themes both within and outside of our local community.

Organization Description:
Indigo Magazine is an online publication featuring various sections such as creative writing, photography/film, graphic design, and editorials. Our members will be students with a passion for bringing awareness to different topics through different mediums. Our focus on the interests of the students is apparent through one of our magazine columns, People’s Pick. Each month, students can send in topics that they want to see in the magazine, whether it be social issues, personal stories, or pop culture. Students can even send in pieces they have created, to be featured in Indigo. To sum it up, Indigo Magazine is an organization by the students, for the students.","mkj200000@utdallas.edu","21","Active",,"0","https://www.instagram.com/utdindigo/"
"Infinity Lions Club","Social","Infinity Lions Club of The University of Texas at Dallas is affiliated with Lions Club International – the largest service organization in the world. Guided by our motto of “We Serve”, the Infinity Lions Club focuses on doing community service work in the North Texas area. Our members not only do community service projects, but they take part in fun activities. They also take advantage of the numerous networking opportunities that being a Lions Club International member provides.","tanya.prasad@utdallas.edu","19","Active",,"0","https://utdinfinitylions.org/"
"Intercultural Programs","Educational/Departmental, University Department","The mission of Intercultural Programs is to lead the UT Dallas community in opportunities that foster global engagement by:
 
• Generating experiences that promote, develop, and enhance intercultural competence
• Supporting the integration of international students into campus life","icprograms@utdallas.edu","22","Active",,"1",
"Japanese Language Association","Academic Interest, Cultural","Our mission is to gather students with a passion for learning the Japanese language and foster an environment where resources and interests can be cultivated and shared.","avt190001@utdallas.edu","33","Active",,"0",
